"","eventDate","samplingEffort","samplingProtocol"
"1045",2016-05-06,NA,"Captured-cage trap"
"1046",NA,NA,NA
"1047",2013-07-24,NA,"Captured-cage trap"
"1048",2022-10-18,"82 Trap Nights","Camera Trapping"
"1049",2018-12-28,NA,"Road kill"
"1050",2022-10-29,"82 Trap Nights","Camera Trapping"
"1051",2022-12-01,"55 Trap Nights","Camera Trapping"
"1052",2016-05-04,NA,"Captured-cage trap"
"1053",2022-09-08,"82 Trap Nights","Camera Trapping"
"1054",NA,NA,NA
"1055",2022-11-17,"55 Trap Nights","Camera Trapping"
"1056",2016-05-05,NA,"Captured-cage trap"
"1057",2022-09-19,"82 Trap Nights","Camera Trapping"
"1058",2022-10-18,"82 Trap Nights","Camera Trapping"
"1059",2021-10-25,"172 Trap Nights","Camera Trapping"
"1060",2022-10-09,"78 Trap Nights","Camera Trapping"
"1061",2021-12-16,"172 Trap Nights","Camera Trapping"
"1062",2022-10-23,"82 Trap Nights","Camera Trapping"
"1063",2022-12-26,"55 Trap Nights","Camera Trapping"
"1064",2022-12-08,"55 Trap Nights","Camera Trapping"
"1065",2013-07-24,NA,"Captured-cage trap"
"1066",NA,NA,"ROAD KILL"
"1067",NA,NA,"CAGE TRAP"
"1068",2021-11-06,"172 Trap Nights","Camera Trapping"
"1069",2022-11-27,"55 Trap Nights","Camera Trapping"
"1070",2022-12-01,"55 Trap Nights","Camera Trapping"
"1071",2022-10-12,"82 Trap Nights","Camera Trapping"
"1072",2022-10-05,"82 Trap Nights","Camera Trapping"
"1073",2022-10-14,"82 Trap Nights","Camera Trapping"
"1074",2016-05-04,NA,"Captured-cage trap"
"1075",2016-05-03,NA,"Captured-cage trap"
"1076",2022-12-29,"55 Trap Nights","Camera Trapping"
"1077",NA,NA,"PICK UP"
"1078",2022-11-08,"55 Trap Nights","Camera Trapping"
"1079",2022-10-29,"82 Trap Nights","Camera Trapping"
"1080",2022-12-13,"8 Trap Nights","Cage Trapping"
"1081",2022-09-12,"82 Trap Nights","Camera Trapping"
"1082",2018-12-28,NA,"Road kill"
"1083",2022-10-07,"78 Trap Nights","Camera Trapping"
"1084",2022-10-30,"82 Trap Nights","Camera Trapping"
"1085",NA,NA,"TRAP"
"1086",2022-11-21,"55 Trap Nights","Camera Trapping"
"1087",2016-05-06,NA,"Captured-cage trap"
"1088",2022-12-15,"55 Trap Nights","Camera Trapping"
"1089",NA,NA,"ROAD KILL"
"1090",2018-12-28,NA,"Road kill"
"1091",2021-11-15,"172 Trap Nights","Camera Trapping"
"1092",2016-05-03,NA,"Captured-cage trap"
"1093",2018-12-28,NA,"Road kill"
"1094",2022-11-27,"55 Trap Nights","Camera Trapping"
"1095",2022-10-13,"82 Trap Nights","Camera Trapping"
"1096",2022-11-10,"55 Trap Nights","Camera Trapping"
"1097",2022-12-24,"55 Trap Nights","Camera Trapping"
"1098",NA,NA,NA
"1099",2022-10-25,"82 Trap Nights","Camera Trapping"
"1100",2016-05-04,NA,"Captured-cage trap"
"1101",2022-09-07,"82 Trap Nights","Camera Trapping"
"1102",2022-12-03,"55 Trap Nights","Camera Trapping"
"1103",2018-12-28,NA,"Road kill"
"1104",2021-08-31,NA,"Captured-cage trap"
"1105",2022-11-19,"55 Trap Nights","Camera Trapping"
"1106",2022-12-12,"55 Trap Nights","Camera Trapping"
"1107",2018-12-28,NA,"Road kill"
"1108",2022-12-11,"55 Trap Nights","Camera Trapping"
"1109",2022-11-09,"55 Trap Nights","Camera Trapping"
"1110",2022-12-02,"55 Trap Nights","Camera Trapping"
"1111",2022-09-25,"82 Trap Nights","Camera Trapping"
"1112",2018-12-28,NA,"Road kill"
"1113",2022-10-06,"82 Trap Nights","Camera Trapping"
"1114",2021-03-25,NA,"Captured-cage trap"
"1115",2016-05-04,NA,"Captured-cage trap"
"1116",2022-12-05,"55 Trap Nights","Camera Trapping"
"1117",2022-09-22,"82 Trap Nights","Camera Trapping"
"1118",2022-10-17,"82 Trap Nights","Camera Trapping"
"1119",2022-12-31,"55 Trap Nights","Camera Trapping"
"1120",2022-10-10,"82 Trap Nights","Camera Trapping"
"1121",2021-10-23,"172 Trap Nights","Camera Trapping"
"1122",2022-09-11,"82 Trap Nights","Camera Trapping"
"1123",2016-05-06,NA,"Captured-cage trap"
"1124",2022-11-21,"55 Trap Nights","Camera Trapping"
"1125",NA,NA,NA
"1126",2022-12-13,"55 Trap Nights","Camera Trapping"
"1127",2022-12-15,"55 Trap Nights","Camera Trapping"
"1128",2016-05-02,NA,"Captured-cage trap"
"1129",2022-10-22,"82 Trap Nights","Camera Trapping"
"1130",2022-10-13,"82 Trap Nights","Camera Trapping"
"1131",2016-05-06,NA,"Captured-cage trap"
"1132",2022-12-31,"55 Trap Nights","Camera Trapping"
"1133",2022-11-22,"59 Trap Nights","Camera Trapping"
"1134",2022-12-19,"55 Trap Nights","Camera Trapping"
"1135",2022-10-02,"82 Trap Nights","Camera Trapping"
"1136",2022-12-21,"55 Trap Nights","Camera Trapping"
"1137",2016-05-04,NA,"Captured-cage trap"
"1138",2022-10-18,"82 Trap Nights","Camera Trapping"
"1139",2022-12-11,"55 Trap Nights","Camera Trapping"
"1140",2022-10-16,"82 Trap Nights","Camera Trapping"
"1141",NA,NA,NA
"1142",2022-09-26,"82 Trap Nights","Camera Trapping"
"1143",2013-07-23,NA,"Captured-cage trap"
"1144",2022-11-18,"55 Trap Nights","Camera Trapping"
"1145",2016-05-06,NA,"Captured-cage trap"
"1146",2022-12-19,"55 Trap Nights","Camera Trapping"
"1147",2018-12-28,NA,"Road kill"
"1148",2016-05-05,NA,"Captured-cage trap"
"1149",2018-12-28,NA,"Road kill"
"1150",2022-10-19,"82 Trap Nights","Camera Trapping"
"1151",2021-03-24,NA,"Captured-cage trap"
"1152",2022-11-02,"82 Trap Nights","Camera Trapping"
"1153",NA,NA,"PICK UP"
"1154",2022-11-30,"55 Trap Nights","Camera Trapping"
"1155",2022-10-08,"82 Trap Nights","Camera Trapping"
"1156",2013-07-25,NA,"Captured-cage trap"
"1157",2022-12-11,"55 Trap Nights","Camera Trapping"
"1158",2022-10-17,"82 Trap Nights","Camera Trapping"
"1159",2022-09-28,"82 Trap Nights","Camera Trapping"
"1160",2022-12-20,"55 Trap Nights","Camera Trapping"
"1161",NA,NA,NA
"1162",2022-12-16,"10 Trap Nights","Cage Trapping"
"1163",2022-10-17,"82 Trap Nights","Camera Trapping"
"1164",2013-07-24,NA,"Captured-cage trap"
"1165",2022-09-19,"82 Trap Nights","Camera Trapping"
"1166",2013-07-25,NA,"Captured-cage trap"
"1167",2021-09-20,"172 Trap Nights","Camera Trapping"
"1168",2022-09-17,"82 Trap Nights","Camera Trapping"
"1169",2022-12-07,"59 Trap Nights","Camera Trapping"
"1170",2013-07-25,NA,"Captured-cage trap"
"1171",2022-12-17,"55 Trap Nights","Camera Trapping"
"1172",2022-09-29,"82 Trap Nights","Camera Trapping"
"1173",2022-10-02,"82 Trap Nights","Camera Trapping"
"1174",NA,NA,NA
"1175",2022-12-31,"55 Trap Nights","Camera Trapping"
"1176",2022-10-05,"82 Trap Nights","Camera Trapping"
"1177",2022-11-24,"55 Trap Nights","Camera Trapping"
"1178",NA,NA,NA
"1179",2022-09-16,"82 Trap Nights","Camera Trapping"
"1180",NA,NA,"PICK UP"
"1181",2022-11-07,"55 Trap Nights","Camera Trapping"
"1182",2022-10-24,"82 Trap Nights","Camera Trapping"
"1183",2022-12-05,"55 Trap Nights","Camera Trapping"
"1184",2022-09-18,"82 Trap Nights","Camera Trapping"
"1185",2022-11-20,"55 Trap Nights","Camera Trapping"
"1186",2022-10-02,"82 Trap Nights","Camera Trapping"
"1187",2022-11-12,"55 Trap Nights","Camera Trapping"
"1188",2022-10-01,"82 Trap Nights","Camera Trapping"
"1189",2016-05-04,NA,"Captured-cage trap"
"1190",NA,NA,"PICK UP"
"1191",2022-12-15,"8 Trap Nights","Cage Trapping"
"1192",2013-07-24,NA,"Captured-cage trap"
"1193",NA,NA,NA
"1194",2022-11-26,"55 Trap Nights","Camera Trapping"
"1195",NA,NA,NA
"1196",2022-12-14,"55 Trap Nights","Camera Trapping"
"1197",NA,NA,NA
"1198",2022-11-28,"55 Trap Nights","Camera Trapping"
"1199",2022-12-18,"55 Trap Nights","Camera Trapping"
"1200",2022-11-18,"55 Trap Nights","Camera Trapping"
"1201",2022-11-19,"55 Trap Nights","Camera Trapping"
"1202",2016-05-06,NA,"Captured-cage trap"
"1203",2016-05-04,NA,"Captured-cage trap"
"1204",2022-11-05,"82 Trap Nights","Camera Trapping"
"1205",2022-10-15,"82 Trap Nights","Camera Trapping"
"1206",NA,NA,"PICK UP"
"1207",2022-11-26,"55 Trap Nights","Camera Trapping"
"1208",2022-10-23,"82 Trap Nights","Camera Trapping"
"1209",2022-12-06,"55 Trap Nights","Camera Trapping"
"1210",2022-11-19,"55 Trap Nights","Camera Trapping"
"1211",2022-12-22,"55 Trap Nights","Camera Trapping"
"1212",2022-12-01,"55 Trap Nights","Camera Trapping"
"1213",2022-09-07,"83 Trap Nights","Camera Trapping"
"1214",2018-12-28,NA,"Road kill"
"1215",2022-12-18,"55 Trap Nights","Camera Trapping"
"1216",2022-12-17,"55 Trap Nights","Camera Trapping"
"1217",2016-05-06,NA,"Captured-cage trap"
"1218",2022-11-19,"55 Trap Nights","Camera Trapping"
"1219",2022-12-02,"55 Trap Nights","Camera Trapping"
"1220",2022-11-02,"82 Trap Nights","Camera Trapping"
"1221",2022-09-23,"82 Trap Nights","Camera Trapping"
"1222",2022-12-17,"55 Trap Nights","Camera Trapping"
"1223",2022-12-29,"55 Trap Nights","Camera Trapping"
"1224",2022-12-06,"55 Trap Nights","Camera Trapping"
"1225",2016-05-03,NA,"Captured-cage trap"
"1226",2022-11-29,"55 Trap Nights","Camera Trapping"
"1227",2022-10-15,"82 Trap Nights","Camera Trapping"
"1228",2018-12-28,NA,"Road kill"
"1229",2022-10-31,"82 Trap Nights","Camera Trapping"
"1230",NA,NA,NA
"1231",2022-12-05,"55 Trap Nights","Camera Trapping"
"1232",2022-09-26,"82 Trap Nights","Camera Trapping"
"1233",NA,NA,NA
"1234",2022-11-23,"55 Trap Nights","Camera Trapping"
"1235",2022-11-23,"55 Trap Nights","Camera Trapping"
"1236",2016-05-02,NA,"Captured-cage trap"
"1237",2016-05-05,NA,"Captured-cage trap"
"1238",2022-10-01,"82 Trap Nights","Camera Trapping"
"1239",2022-12-21,"55 Trap Nights","Camera Trapping"
"1240",2022-10-03,"82 Trap Nights","Camera Trapping"
"1241",2022-09-28,"82 Trap Nights","Camera Trapping"
"1242",2022-09-30,"82 Trap Nights","Camera Trapping"
"1243",2022-11-29,"55 Trap Nights","Camera Trapping"
"1244",NA,NA,"PICK UP"
"1245",2022-10-11,"82 Trap Nights","Camera Trapping"
"1246",2022-10-16,"82 Trap Nights","Camera Trapping"
"1247",2021-09-20,"172 Trap Nights","Camera Trapping"
"1248",2021-10-22,"172 Trap Nights","Camera Trapping"
"1249",2022-12-11,"55 Trap Nights","Camera Trapping"
"1250",NA,NA,"PICK UP"
"1251",2021-10-21,"172 Trap Nights","Camera Trapping"
"1252",2022-12-03,"55 Trap Nights","Camera Trapping"
"1253",NA,NA,"CAGE TRAP"
"1254",NA,NA,NA
"1255",2021-09-20,"172 Trap Nights","Camera Trapping"
"1256",2021-09-17,"172 Trap Nights","Camera Trapping"
"1257",2022-10-29,"82 Trap Nights","Camera Trapping"
"1258",2022-10-26,"82 Trap Nights","Camera Trapping"
"1259",2022-09-30,"82 Trap Nights","Camera Trapping"
"1260",NA,NA,"TRAP"
"1261",2014-04-07,NA,"Observed-spotlighting"
"1262",NA,NA,NA
"1263",2022-10-09,"78 Trap Nights","Camera Trapping"
"1264",2016-05-04,NA,"Captured-cage trap"
"1265",2022-10-18,"83 Trap Nights","Camera Trapping"
"1266",2022-09-27,"82 Trap Nights","Camera Trapping"
"1267",2022-10-16,"82 Trap Nights","Camera Trapping"
"1268",2018-12-28,NA,"Road kill"
"1269",2022-10-23,"82 Trap Nights","Camera Trapping"
"1270",2022-09-30,"82 Trap Nights","Camera Trapping"
"1271",2022-10-08,"82 Trap Nights","Camera Trapping"
"1272",2016-05-03,NA,"Captured-cage trap"
"1273",2016-05-05,NA,"Captured-cage trap"
"1274",2022-11-29,"55 Trap Nights","Camera Trapping"
"1275",2022-11-20,"55 Trap Nights","Camera Trapping"
"1276",2018-12-28,NA,"Road kill"
"1277",2022-11-01,"82 Trap Nights","Camera Trapping"
"1278",2022-11-20,"55 Trap Nights","Camera Trapping"
"1279",2022-09-19,"82 Trap Nights","Camera Trapping"
"1280",2022-10-31,"82 Trap Nights","Camera Trapping"
"1281",2022-09-13,"82 Trap Nights","Camera Trapping"
"1282",2022-09-17,"78 Trap Nights","Camera Trapping"
"1283",2022-12-18,"55 Trap Nights","Camera Trapping"
"1284",2018-12-28,NA,"Road kill"
"1285",2022-11-02,"82 Trap Nights","Camera Trapping"
"1286",2022-11-10,"55 Trap Nights","Camera Trapping"
"1287",NA,NA,"SHOT"
"1288",2022-11-18,"55 Trap Nights","Camera Trapping"
"1289",2022-09-19,"82 Trap Nights","Camera Trapping"
"1290",NA,NA,NA
"1291",2013-07-23,NA,"Captured-cage trap"
"1292",2022-10-21,"82 Trap Nights","Camera Trapping"
"1293",2022-12-01,"55 Trap Nights","Camera Trapping"
"1294",2022-09-20,"82 Trap Nights","Camera Trapping"
"1295",2021-10-03,"172 Trap Nights","Camera Trapping"
"1296",2022-10-09,"82 Trap Nights","Camera Trapping"
"1297",2022-10-26,"82 Trap Nights","Camera Trapping"
"1298",1996-11-14,NA,"Captured-cage trap"
"1299",NA,NA,"PICK UP"
"1300",2022-10-21,"82 Trap Nights","Camera Trapping"
"1301",2022-09-26,"82 Trap Nights","Camera Trapping"
"1302",2022-09-28,"83 Trap Nights","Camera Trapping"
"1303",NA,NA,NA
"1304",2022-12-10,"55 Trap Nights","Camera Trapping"
"1305",2022-11-16,"55 Trap Nights","Camera Trapping"
"1306",2022-09-28,"82 Trap Nights","Camera Trapping"
"1307",NA,NA,"PICK UP"
"1308",2016-05-05,NA,"Captured-cage trap"
"1309",2022-12-19,"55 Trap Nights","Camera Trapping"
"1310",2022-09-19,"82 Trap Nights","Camera Trapping"
"1311",NA,NA,"DOG KILL"
"1312",2022-10-04,"82 Trap Nights","Camera Trapping"
"1313",2022-09-22,"82 Trap Nights","Camera Trapping"
"1314",2016-05-03,NA,"Captured-cage trap"
"1315",NA,NA,NA
"1316",2022-10-03,"82 Trap Nights","Camera Trapping"
"1317",2022-10-28,"82 Trap Nights","Camera Trapping"
"1318",2022-09-09,"82 Trap Nights","Camera Trapping"
"1319",2022-09-30,"82 Trap Nights","Camera Trapping"
"1320",2022-09-29,"82 Trap Nights","Camera Trapping"
"1321",NA,NA,NA
"1322",2016-05-04,NA,"Captured-cage trap"
"1323",NA,NA,"TRAP"
"1324",2022-09-26,"82 Trap Nights","Camera Trapping"
"1325",2022-11-03,"82 Trap Nights","Camera Trapping"
"1326",2021-03-24,NA,"Captured-cage trap"
"1327",2016-05-06,NA,"Captured-cage trap"
"1328",2016-05-06,NA,"Captured-cage trap"
"1329",NA,NA,NA
"1330",2022-09-14,"78 Trap Nights","Camera Trapping"
"1331",NA,NA,"CAGE TRAP"
"1332",2021-03-23,NA,"Captured-cage trap"
"1333",2022-09-07,"83 Trap Nights","Camera Trapping"
"1334",2022-11-30,"55 Trap Nights","Camera Trapping"
"1335",2016-05-05,NA,"Captured-cage trap"
"1336",2022-11-19,"55 Trap Nights","Camera Trapping"
"1337",2022-12-11,"55 Trap Nights","Camera Trapping"
"1338",2016-05-03,NA,"Captured-cage trap"
"1339",NA,NA,"PICK UP"
"1340",2022-11-17,"55 Trap Nights","Camera Trapping"
"1341",2022-11-17,"55 Trap Nights","Camera Trapping"
"1342",2022-12-15,"55 Trap Nights","Camera Trapping"
"1343",2016-05-06,NA,"Captured-cage trap"
"1344",2022-09-24,"82 Trap Nights","Camera Trapping"
"1345",2022-11-27,"55 Trap Nights","Camera Trapping"
"1346",2021-03-24,NA,"Captured-cage trap"
"1347",2021-12-31,"172 Trap Nights","Camera Trapping"
"1348",2022-12-09,"55 Trap Nights","Camera Trapping"
"1349",2022-12-02,"55 Trap Nights","Camera Trapping"
"1350",2022-11-19,"55 Trap Nights","Camera Trapping"
"1351",2022-12-14,"8 Trap Nights","Cage Trapping"
"1352",2022-09-19,"78 Trap Nights","Camera Trapping"
"1353",2022-11-18,"55 Trap Nights","Camera Trapping"
"1354",2022-12-12,"55 Trap Nights","Camera Trapping"
"1355",2021-09-23,"172 Trap Nights","Camera Trapping"
"1356",2022-12-16,"8 Trap Nights","Cage Trapping"
"1357",2022-12-11,"55 Trap Nights","Camera Trapping"
"1358",2022-12-20,"55 Trap Nights","Camera Trapping"
"1359",2022-12-12,"8 Trap Nights","Cage Trapping"
"1360",NA,NA,"FOUND DEAD"
"1361",2022-11-19,"55 Trap Nights","Camera Trapping"
"1362",2022-10-20,"82 Trap Nights","Camera Trapping"
"1363",2016-05-06,NA,"Captured-cage trap"
"1364",2022-12-07,"55 Trap Nights","Camera Trapping"
"1365",1996-11-14,NA,"Captured-cage trap"
"1366",2022-09-12,"82 Trap Nights","Camera Trapping"
"1367",2013-07-23,NA,"Captured-cage trap"
"1368",2022-09-21,"82 Trap Nights","Camera Trapping"
"1369",2022-12-05,"55 Trap Nights","Camera Trapping"
"1370",2022-12-14,"55 Trap Nights","Camera Trapping"
"1371",2022-10-27,"82 Trap Nights","Camera Trapping"
"1372",2022-10-07,"83 Trap Nights","Camera Trapping"
"1373",2016-05-03,NA,"Captured-cage trap"
"1374",NA,NA,NA
"1375",2022-10-18,"82 Trap Nights","Camera Trapping"
"1376",NA,NA,NA
"1377",2022-09-10,"82 Trap Nights","Camera Trapping"
"1378",2022-11-29,"55 Trap Nights","Camera Trapping"
"1379",2022-10-11,"82 Trap Nights","Camera Trapping"
"1380",NA,NA,NA
"1381",NA,NA,NA
"1382",2022-12-08,"55 Trap Nights","Camera Trapping"
"1383",NA,NA,"PICK UP"
"1384",NA,NA,NA
"1385",2022-09-14,"78 Trap Nights","Camera Trapping"
"1386",2022-12-21,"55 Trap Nights","Camera Trapping"
"1387",2022-09-28,"82 Trap Nights","Camera Trapping"
"1388",2022-12-17,"55 Trap Nights","Camera Trapping"
"1389",NA,NA,NA
"1390",2022-12-10,"55 Trap Nights","Camera Trapping"
"1391",2022-11-08,"55 Trap Nights","Camera Trapping"
"1392",2016-05-06,NA,"Captured-cage trap"
"1393",2022-09-16,"82 Trap Nights","Camera Trapping"
"1394",2022-10-17,"82 Trap Nights","Camera Trapping"
"1395",2021-10-27,"172 Trap Nights","Camera Trapping"
"1396",2022-12-12,"55 Trap Nights","Camera Trapping"
"1397",2016-05-04,NA,"Captured-cage trap"
"1398",2022-12-14,"8 Trap Nights","Cage Trapping"
"1399",2022-10-16,"82 Trap Nights","Camera Trapping"
"1400",2022-10-22,"82 Trap Nights","Camera Trapping"
"1401",2022-12-14,"59 Trap Nights","Camera Trapping"
"1402",NA,NA,"CAGE TRAP"
"1403",2022-11-22,"55 Trap Nights","Camera Trapping"
"1404",2022-11-27,"55 Trap Nights","Camera Trapping"
"1405",2016-05-05,NA,"Captured-cage trap"
"1406",2022-12-27,"55 Trap Nights","Camera Trapping"
"1407",2022-11-24,"55 Trap Nights","Camera Trapping"
"1408",2022-10-14,"82 Trap Nights","Camera Trapping"
"1409",2022-09-22,"82 Trap Nights","Camera Trapping"
"1410",2022-10-07,"82 Trap Nights","Camera Trapping"
"1411",2022-12-16,"55 Trap Nights","Camera Trapping"
"1412",2022-11-30,"55 Trap Nights","Camera Trapping"
"1413",2022-09-20,"82 Trap Nights","Camera Trapping"
"1414",2018-12-28,NA,"Road kill"
"1415",2022-10-30,"82 Trap Nights","Camera Trapping"
"1416",2013-07-23,NA,"Captured-cage trap"
"1417",2022-12-19,"55 Trap Nights","Camera Trapping"
"1418",2022-11-18,"55 Trap Nights","Camera Trapping"
"1419",2022-12-13,"8 Trap Nights","Cage Trapping"
"1420",2022-10-11,"82 Trap Nights","Camera Trapping"
"1421",2022-11-25,"55 Trap Nights","Camera Trapping"
"1422",2018-12-28,NA,"Road kill"
"1423",NA,NA,"PICK UP"
"1424",2013-07-23,NA,"Captured-cage trap"
"1425",2018-12-28,NA,"Road kill"
"1426",2022-10-04,"82 Trap Nights","Camera Trapping"
"1427",2022-12-14,"10 Trap Nights","Cage Trapping"
"1428",2022-10-18,"82 Trap Nights","Camera Trapping"
"1429",2022-10-26,"82 Trap Nights","Camera Trapping"
"1430",2022-11-06,"82 Trap Nights","Camera Trapping"
"1431",2000-11-08,NA,"Captured-cage trap"
"1432",2022-12-14,"8 Trap Nights","Cage Trapping"
"1433",2013-07-23,NA,"Captured-cage trap"
"1434",2022-11-08,"55 Trap Nights","Camera Trapping"
"1435",2016-05-03,NA,"Captured-cage trap"
"1436",2022-11-27,"55 Trap Nights","Camera Trapping"
"1437",2022-10-22,"82 Trap Nights","Camera Trapping"
"1438",2021-10-03,"172 Trap Nights","Camera Trapping"
"1439",2022-12-04,"55 Trap Nights","Camera Trapping"
"1440",2022-11-26,"55 Trap Nights","Camera Trapping"
"1441",2022-09-13,"82 Trap Nights","Camera Trapping"
"1442",2016-05-03,NA,"Captured-cage trap"
"1443",2013-07-23,NA,"Captured-cage trap"
"1444",2021-10-19,NA,"Captured-cage trap"
"1445",2022-12-15,"8 Trap Nights","Cage Trapping"
"1446",2022-09-12,"82 Trap Nights","Camera Trapping"
"1447",2021-12-09,"172 Trap Nights","Camera Trapping"
"1448",2022-12-21,"55 Trap Nights","Camera Trapping"
"1449",2022-10-23,"82 Trap Nights","Camera Trapping"
"1450",NA,NA,"SHOT"
"1451",2022-12-19,"55 Trap Nights","Camera Trapping"
"1452",2021-09-03,NA,"Captured-cage trap"
"1453",2022-09-30,"82 Trap Nights","Camera Trapping"
"1454",2022-09-26,"82 Trap Nights","Camera Trapping"
"1455",2022-10-25,"82 Trap Nights","Camera Trapping"
"1456",2022-10-22,"82 Trap Nights","Camera Trapping"
"1457",2016-05-05,NA,"Captured-cage trap"
"1458",2022-09-25,"82 Trap Nights","Camera Trapping"
"1459",2022-12-23,"55 Trap Nights","Camera Trapping"
"1460",2022-12-15,"8 Trap Nights","Cage Trapping"
"1461",2022-10-06,"82 Trap Nights","Camera Trapping"
"1462",2016-05-06,NA,"Captured-cage trap"
"1463",2022-11-27,"54 Trap Nights","Camera Trapping"
"1464",2014-03-19,NA,"Observed-spotlighting"
"1465",2022-09-23,"78 Trap Nights","Camera Trapping"
"1466",2022-12-20,"55 Trap Nights","Camera Trapping"
"1467",2022-09-09,"83 Trap Nights","Camera Trapping"
"1468",2022-11-25,"55 Trap Nights","Camera Trapping"
"1469",2022-11-19,"55 Trap Nights","Camera Trapping"
"1470",2022-10-23,"82 Trap Nights","Camera Trapping"
"1471",2022-10-23,"82 Trap Nights","Camera Trapping"
"1472",NA,NA,NA
"1473",2022-10-03,"78 Trap Nights","Camera Trapping"
"1474",2022-11-30,"55 Trap Nights","Camera Trapping"
"1475",2022-11-01,"82 Trap Nights","Camera Trapping"
"1476",2022-10-28,"82 Trap Nights","Camera Trapping"
"1477",2016-05-03,NA,"Captured-cage trap"
"1478",2021-09-20,"172 Trap Nights","Camera Trapping"
"1479",2016-05-04,NA,"Captured-cage trap"
"1480",2022-12-23,"55 Trap Nights","Camera Trapping"
"1481",2022-09-18,"78 Trap Nights","Camera Trapping"
"1482",NA,NA,NA
"1483",2022-11-09,"55 Trap Nights","Camera Trapping"
"1484",2022-11-21,"55 Trap Nights","Camera Trapping"
"1485",NA,NA,"SHOT"
"1486",2022-10-16,"82 Trap Nights","Camera Trapping"
"1487",2022-12-31,"55 Trap Nights","Camera Trapping"
"1488",2022-09-17,"82 Trap Nights","Camera Trapping"
"1489",2022-10-05,"82 Trap Nights","Camera Trapping"
"1490",2016-05-04,NA,"Captured-cage trap"
"1491",2022-11-30,"55 Trap Nights","Camera Trapping"
"1492",NA,NA,NA
"1493",2014-04-15,NA,"Observed-spotlighting"
"1494",2022-12-30,"55 Trap Nights","Camera Trapping"
"1495",2022-10-17,"82 Trap Nights","Camera Trapping"
"1496",2016-05-04,NA,"Captured-cage trap"
"1497",2022-11-26,"59 Trap Nights","Camera Trapping"
"1498",2022-09-26,"78 Trap Nights","Camera Trapping"
"1499",2018-12-28,NA,"Road kill"
"1500",NA,NA,NA
"1501",2022-12-16,"8 Trap Nights","Cage Trapping"
"1502",2022-10-24,"82 Trap Nights","Camera Trapping"
"1503",2022-09-26,"82 Trap Nights","Camera Trapping"
"1504",2022-11-17,"55 Trap Nights","Camera Trapping"
"1505",2022-09-20,"78 Trap Nights","Camera Trapping"
"1506",2022-11-15,"59 Trap Nights","Camera Trapping"
"1507",NA,NA,NA
"1508",NA,NA,NA
"1509",2022-12-02,"55 Trap Nights","Camera Trapping"
"1510",2022-10-02,"82 Trap Nights","Camera Trapping"
"1511",2022-09-12,"82 Trap Nights","Camera Trapping"
"1512",2022-09-24,"82 Trap Nights","Camera Trapping"
"1513",2022-11-02,"82 Trap Nights","Camera Trapping"
"1514",2022-10-02,"82 Trap Nights","Camera Trapping"
"1515",2022-12-01,"55 Trap Nights","Camera Trapping"
"1516",2022-12-13,"10 Trap Nights","Cage Trapping"
"1517",2022-09-24,"78 Trap Nights","Camera Trapping"
"1518",2022-09-26,"82 Trap Nights","Camera Trapping"
"1519",2022-10-15,"82 Trap Nights","Camera Trapping"
"1520",2022-09-22,"82 Trap Nights","Camera Trapping"
"1521",2021-09-01,NA,"Captured-cage trap"
"1522",2016-05-05,NA,"Captured-cage trap"
"1523",2022-11-22,"55 Trap Nights","Camera Trapping"
"1524",NA,NA,NA
"1525",2016-05-05,NA,"Captured-cage trap"
"1526",2022-10-23,"82 Trap Nights","Camera Trapping"
"1527",2022-10-20,"82 Trap Nights","Camera Trapping"
"1528",NA,NA,NA
"1529",2022-11-20,"55 Trap Nights","Camera Trapping"
"1530",2021-09-02,NA,"Captured-cage trap"
"1531",2022-10-13,"82 Trap Nights","Camera Trapping"
"1532",2022-11-04,"82 Trap Nights","Camera Trapping"
"1533",NA,NA,"ROAD KILL"
"1534",2022-09-24,"82 Trap Nights","Camera Trapping"
"1535",2021-09-05,"172 Trap Nights","Camera Trapping"
"1536",2021-12-09,"172 Trap Nights","Camera Trapping"
"1537",2022-12-14,"8 Trap Nights","Cage Trapping"
"1538",2021-10-03,"172 Trap Nights","Camera Trapping"
"1539",2022-09-23,"82 Trap Nights","Camera Trapping"
"1540",2013-07-25,NA,"Captured-cage trap"
"1541",2022-09-09,"82 Trap Nights","Camera Trapping"
"1542",2022-09-29,"82 Trap Nights","Camera Trapping"
"1543",2022-11-18,"55 Trap Nights","Camera Trapping"
"1544",2021-09-01,NA,"Captured-cage trap"
"1545",2022-10-16,"82 Trap Nights","Camera Trapping"
"1546",2022-10-02,"82 Trap Nights","Camera Trapping"
"1547",2022-12-16,"55 Trap Nights","Camera Trapping"
"1548",2022-09-10,"82 Trap Nights","Camera Trapping"
"1549",2022-11-24,"55 Trap Nights","Camera Trapping"
"1550",2022-11-26,"55 Trap Nights","Camera Trapping"
"1551",2022-10-18,"82 Trap Nights","Camera Trapping"
"1552",2021-09-02,NA,"Captured-cage trap"
"1553",2022-10-20,"82 Trap Nights","Camera Trapping"
"1554",2016-05-05,NA,"Captured-cage trap"
"1555",2022-12-09,"55 Trap Nights","Camera Trapping"
"1556",2022-11-21,"55 Trap Nights","Camera Trapping"
"1557",2022-10-30,"82 Trap Nights","Camera Trapping"
"1558",2022-09-30,"82 Trap Nights","Camera Trapping"
